,Terms,Count,related_terms
0,great,645,"kitchen, product, price, bathroom, house"
1,good,386,"product, price, cleaning, bathroom, size"
2,easy,116,"bathroom, kitchen, house, container, product"
3,quick,95,"kitchen, bathroom, quick, use, bathrooms"
4,best,78,"amazon, price, use, time, kitchen"
5,handy,76,"bathroom, house, handy, kitchen, hands"
6,little,59,"time, bathroom, lid, thing, kitchen"
7,nice,58,"things, smell, bathroom, house, hands"
8,fresh,56,"scent, use, bathroom, kitchen, smell"
9,better,50,"brand, lysol, container, kitchen, time"
10,convenient,50,"convenient, kitchen, way, plastic, bathroom"
11,big,48,"deal, store, time, container, price"
12,strong,42,"scent, smell, use, cleaning, things"
13,small,42,"messes, hands, sheet, home, time"
14,cheaper,36,"way, amazon, store, price, lysol"
15,product,367,"great, good, fresh, quick, favorite"
16,kitchen,214,"great, kitchen, quick, easy, handy"
17,price,196,"great, good, reasonable, right, fast"
18,bathroom,194,"great, quick, handy, easy, perfect"
19,time,167,"long, great, good, big, quick"
20,house,158,"handy, great, easy, good, entire"
21,cleaning,127,"great, quick, good, easy, perfect"
22,use,119,"easy, great, convenient, good, quick"
23,container,110,"plastic, big, cheap, easy, large"
24,things,94,"great, fresh, convenient, lysol, nice"
25,scent,81,"fresh, lemon, pleasant, strong, nice"
26,smell,80,"great, nice, fresh, strong, good"
27,surfaces,78,"great, hard, able, daily, different"
28,job,76,"good, great, strong, overall, disposable"
29,store,72,"local, great, big, plastic, door"
